,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,quantity,volume_m3,price_per_m3,nm_empresa,cidade,nm_mun,nm_uf,nu_latitude,nu_longitude
407,https://www.fischer.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Fischer Empreendimentos E Incorporadora Ltda.,BRUSQUE,BRUSQUE,Santa Catarina,-27.09831023,-48.91516301
414,https://rottamoveis.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Rotta Moveis,CACADOR,CACADOR,Santa Catarina,-26.77534767,-51.01903476
421,https://henn.com.br/pt,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Industria E Comercio De Moveis Henn Ltda,MONDAI,MONDAI,Santa Catarina,-27.10361169,-53.39868403
424,https://www.moveisparpinelli.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Industria E Comercio De Moveis Parpinelli Ltda,ANCHIETA,ANCHIETA,Espírito Santo,-20.80561322,-40.64765894
426,https://www.moveisparpinelli.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Industria E Comercio De Moveis Parpinelli Ltda,ANCHIETA,ANCHIETA,Santa Catarina,-26.53568086,-53.33327018
429,https://jjcferramentas.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Jjc E-Commerce,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
436,https://www.jzago.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Jzago Materiais De Construcao,LAGES,LAGES,Santa Catarina,-27.81725946,-50.33022242
445,https://www.casajhs.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Jhs Materiais De Construcao Ltda.,POUSO REDONDO,POUSO REDONDO,Santa Catarina,-27.25108628,-49.95565214
452,http://www.exclusivapiscinas.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Exclusiva Piscinas Chapeco,CHAPECO,CHAPECO,Santa Catarina,-27.10683702,-52.61703111
458,https://www.gmad.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Gmad Chapecomp Suprimentos Para Moveis Ltda,CHAPECO,CHAPECO,Santa Catarina,-27.10683702,-52.61703111
464,https://www.loja.fricke.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Lojas Fricke Ltda.,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
471,https://www.kleiner.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Kleiner Schein Industria De Moveis E Decoracoes Ltda,TUBARAO,TUBARAO,Santa Catarina,-28.48003395,-49.00526808
479,https://www.julycasa.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Julycasa Materiais De Construcao Ltda,INDAIAL,INDAIAL,Santa Catarina,-26.906256,-49.24014046
486,https://luhrs.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Luhrs Industria E Comercio De Produtos Metalurgicos Ltda,CACADOR,CACADOR,Santa Catarina,-26.77534767,-51.01903476
493,https://www.milium.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Milium Tem De Tudo,BALNEARIO CAMBORIU,BALNEARIO CAMBORIU,Santa Catarina,-26.99181861,-48.63461748
500,https://comercialms.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Matecall Comercio E Representacao Ltda,SAO JOSE,SAO JOSE,Santa Catarina,-27.59031208,-48.61602272
508,https://www.mrdistribuidora.log.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Marfim Industria E Comercio De Ferramentas Ltda,JARAGUA DO SUL,JARAGUA DO SUL,Santa Catarina,-26.49048435,-49.07629882
515,https://www.madel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Madel Comercio De Madeiras E Ferragens Ltda,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
522,https://www.americadosolmateriais.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Materiais De Construcao America Do Sol Ltda,BLUMENAU,BLUMENAU,Santa Catarina,-26.91610771,-49.05763088
