nm_municipio_1mai_sa_x,cd_mun_7d,nm_uf_x,sg_uf,grupo_setor,quantidade_empresas,nm_uf_y,nm_municipio_1mai_sa_y,nm_microrregiao,nu_latitude,nu_longitude
Eldorado do Sul,4306767.0,Rio Grande do Sul,RS,Fabricação de móveis com predominância de madeira,1,Rio Grande do Sul,Eldorado do Sul,Porto Alegre,-29.99929259,-51.31041893
Elesbao Veloso,2203503.0,Piauí,PI,Comércio varejista de materiais de construção,7,Piauí,Elesbao Veloso,Valença do Piauí,-6.201719461,-42.13814445
Elias Fausto,3514908.0,São Paulo,SP,Comércio varejista de materiais de construção,2,São Paulo,Elias Fausto,Campinas,-23.04253672,-47.37677424
Elias Fausto,3514908.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,2,São Paulo,Elias Fausto,Campinas,-23.04253672,-47.37677424
Eliseu Martins,2203602.0,Piauí,PI,Comércio varejista de materiais de construção,3,Piauí,Eliseu Martins,Bertolínia,-8.09646229,-43.66481113
Eloi Mendes,3123601.0,Minas Gerais,MG,Comércio varejista de materiais de construção,8,Minas Gerais,Eloi Mendes,Varginha,-21.60931278,-45.5664342
Embu das Artes,3515004.0,São Paulo,SP,Comércio varejista de materiais de construção,53,São Paulo,Embu das Artes,Itapecerica da Serra,-23.6473125,-46.85085999
Embu das Artes,3515004.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,7,São Paulo,Embu das Artes,Itapecerica da Serra,-23.6473125,-46.85085999
Embu das Artes,3515004.0,São Paulo,SP,Fabricação de outros artigos de carpintaria para construção,1,São Paulo,Embu das Artes,Itapecerica da Serra,-23.6473125,-46.85085999
Embu-Guacu,3515103.0,São Paulo,SP,Comércio varejista de materiais de construção,31,São Paulo,Embu-Guacu,Itapecerica da Serra,-23.8318291,-46.81710887
Embu-Guacu,3515103.0,São Paulo,SP,"Fabricação de artefatos diversos de madeira, exceto móveis",3,São Paulo,Embu-Guacu,Itapecerica da Serra,-23.8318291,-46.81710887
Embu-Guacu,3515103.0,São Paulo,SP,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,2,São Paulo,Embu-Guacu,Itapecerica da Serra,-23.8318291,-46.81710887
Embu-Guacu,3515103.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,8,São Paulo,Embu-Guacu,Itapecerica da Serra,-23.8318291,-46.81710887
Encantado,4306809.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,7,Rio Grande do Sul,Encantado,Lajeado-Estrela,-29.23991721,-51.87302313
Encantado,4306809.0,Rio Grande do Sul,RS,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1,Rio Grande do Sul,Encantado,Lajeado-Estrela,-29.23991721,-51.87302313
Encantado,4306809.0,Rio Grande do Sul,RS,Fabricação de móveis com predominância de madeira,5,Rio Grande do Sul,Encantado,Lajeado-Estrela,-29.23991721,-51.87302313
Encruzilhada,2910404.0,Bahia,BA,Comércio varejista de materiais de construção,2,Bahia,Encruzilhada,Itapetinga,-15.53458018,-40.90912075
Encruzilhada do Sul,4306908.0,Rio Grande do Sul,RS,Comércio atacadista de materiais de construção,1,Rio Grande do Sul,Encruzilhada do Sul,Serras de Sudeste,-30.54365732,-52.52204539
Encruzilhada do Sul,4306908.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,5,Rio Grande do Sul,Encruzilhada do Sul,Serras de Sudeste,-30.54365732,-52.52204539
Encruzilhada do Sul,4306908.0,Rio Grande do Sul,RS,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Rio Grande do Sul,Encruzilhada do Sul,Serras de Sudeste,-30.54365732,-52.52204539
Encruzilhada do Sul,4306908.0,Rio Grande do Sul,RS,Fabricação de móveis com predominância de madeira,1,Rio Grande do Sul,Encruzilhada do Sul,Serras de Sudeste,-30.54365732,-52.52204539
Eneas Marques,4107405.0,Paraná,PR,Comércio varejista de materiais de construção,1,Paraná,Eneas Marques,Francisco Beltrão,-25.94075598,-53.16618527
Engenheiro Caldas,3123700.0,Minas Gerais,MG,Comércio varejista de materiais de construção,2,Minas Gerais,Engenheiro Caldas,Governador Valadares,-19.19810287,-42.04984169
Engenheiro Coelho,3515152.0,São Paulo,SP,Comércio varejista de materiais de construção,5,São Paulo,Engenheiro Coelho,Mogi Mirim,-22.49118995,-47.21307973
Engenheiro Paulo de Frontin,3301801.0,Rio de Janeiro,RJ,Comércio varejista de materiais de construção,2,Rio de Janeiro,Engenheiro Paulo de Frontin,Vassouras,-22.54368466,-43.67947683
Entre Rios,2910503.0,Bahia,BA,Comércio varejista de materiais de construção,5,Bahia,Entre Rios,Entre Rios,-11.93726137,-38.07877702
Entre Rios,4205175.0,Santa Catarina,SC,Comércio varejista de materiais de construção,1,Santa Catarina,Entre Rios,Xanxerê,-26.7236211,-52.56253397
Entre Rios de Minas,3123908.0,Minas Gerais,MG,Comércio varejista de materiais de construção,5,Minas Gerais,Entre Rios de Minas,Conselheiro Lafaiete,-20.6713572,-44.06708168
Entre-Ijuis,4306932.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,4,Rio Grande do Sul,Entre-Ijuis,Santo Ângelo,-28.36279428,-54.27143185
Envira,1301506.0,Amazonas,AM,Comércio varejista de materiais de construção,3,Amazonas,Envira,Juruá,-7.439817544,-70.03041254
Envira,1301506.0,Amazonas,AM,Fabricação de móveis com predominância de madeira,1,Amazonas,Envira,Juruá,-7.439817544,-70.03041254
Epitaciolandia,1200252.0,Acre,AC,Comércio atacadista de materiais de construção,1,Acre,Epitaciolandia,Brasiléia,-11.02823983,-68.74486807
Epitaciolandia,1200252.0,Acre,AC,Comércio varejista de materiais de construção,13,Acre,Epitaciolandia,Brasiléia,-11.02823983,-68.74486807
